user_id,name,email,withdrawal_amount
1,User_1,user_1@example.com,4161.24
2,User_2,user_2@example.com,1565.5
3,User_3,user_3@example.com,1533.62
4,User_4,user_4@example.com,2962.67
5,User_5,user_5@example.com,456.89
6,User_6,user_6@example.com,3476.37
7,User_7,user_7@example.com,2433.6
8,User_8,user_8@example.com,2181.15
9,User_9,user_9@example.com,1564.87
10,User_10,user_10@example.com,2525.47
11,User_11,user_11@example.com,1926.64
12,User_12,user_12@example.com,4646.21
13,User_13,user_13@example.com,4610.21
14,User_14,user_14@example.com,249.43
15,User_15,user_15@example.com,3101.23
16,User_16,user_16@example.com,2868.35
17,User_17,user_17@example.com,4754.42
18,User_18,user_18@example.com,2895.37
19,User_19,user_19@example.com,4019.55
20,User_20,user_20@example.com,650.91
21,User_21,user_21@example.com,855.5
22,User_22,user_22@example.com,823.44
23,User_23,user_23@example.com,3434.27
24,User_24,user_24@example.com,2850.0
25,User_25,user_25@example.com,1273.68
26,User_26,user_26@example.com,207.23
27,User_27,user_27@example.com,3015.51
28,User_28,user_28@example.com,3502.79
29,User_29,user_29@example.com,1531.75
30,User_30,user_30@example.com,2876.37
31,User_31,user_31@example.com,941.76
32,User_32,user_32@example.com,1989.69
33,User_33,user_33@example.com,2526.95
34,User_34,user_34@example.com,3975.96
35,User_35,user_35@example.com,1417.08
36,User_36,user_36@example.com,2416.36
37,User_37,user_37@example.com,157.75
38,User_38,user_38@example.com,3415.74
39,User_39,user_39@example.com,2231.74
40,User_40,user_40@example.com,3658.62
41,User_41,user_41@example.com,4490.76
42,User_42,user_42@example.com,3173.74
43,User_43,user_43@example.com,718.06
44,User_44,user_44@example.com,4116.08
45,User_45,user_45@example.com,1131.63
46,User_46,user_46@example.com,3143.63
47,User_47,user_47@example.com,3743.33
48,User_48,user_48@example.com,4104.06
49,User_49,user_49@example.com,907.95
49,User_49,user_49@example.com,907.95
